en,fr
Sixteenth,Seizième
Seventeenth,Dix-septième
Eighteenth,Dix-huitième
Nineteenth,Dix-neuvième
Twentieth,Vingtième
Twenty-first,Vingt-et-unième
Twenty-second,Vingt-deuxième
Twenty-third,Vingt-troisième
Twenty-fourth,Vingt-quatrième
Twenty-fifth,Vingt-cinquième
Twenty-sixth,Vingt-sixième
Twenty-seventh,Vingt-septième
Last Sunday,Dernier dimanche
Lady Day,L'Annonciation
Lenten Embertide,Quatre-Temps de Carême
Advent Embertide,Quatre-Temps de l'Avent
Whit Embertide,Quatre-Temps de la Pentecôte
September Embertide,Quatre-Temps de Septembre
St. Bibiana,Ste Bibiane
Pope Marcellus I,"St Marcel Ier, pape"
St. Paul the Hermit,St Paul l'Anachorète
Spy Wednesday,Mercredi saint
St. John,St Jean
St. Peter,St Pierre
St. Paul,St Paul
St. James,St Jacques
St. Philip,St Philippe
St. Simon,St Simon
St. Jude,St Jude
St. Martha,Ste Marthe
St. Mary,Ste Marie
St. Joachim,St Joachim
St. Elizabeth,Ste Élisabeth
St. Zachary,St Zacharie
